{47dcf37a-6a8d-4ef6-9f82-2e0398fa69f9} bank:/common
{08ba93d3-b510-4a01-a37f-fa532e893fe1} bank:/dtp_mazda_rx7fc_13b
{08f6ba78-f576-4f9f-a232-47657d5fec19} bus:/
{9e2b6406-bcd0-4f61-92a5-b3e5d68d4b97} bus:/grp_backfire_ext
{477be05a-5cbd-468a-b1d8-637af58bba28} bus:/grp_backfire_int
{b3c3876b-83aa-45d3-b43a-125adcb9a753} bus:/grp_bodywork
{f915798f-0669-4379-b31a-6ec19e8af0ea} bus:/grp_collisions
{559b9037-dd6c-4120-9373-477d07717f9e} bus:/grp_door
{5206e42b-ae8f-49f6-b059-d613b2947b49} bus:/grp_engine_ext
{db9dca15-49f5-4c00-93ca-e76ccaf1160e} bus:/grp_engine_int
{c9a0a35d-dcc0-4002-ae01-5487466de9f8} bus:/grp_gear_ext
{f09ce222-1e68-42a9-9e16-fcb45004fcb3} bus:/grp_gear_int
{c89669bc-901a-4b52-91b7-46a85014ee0d} bus:/grp_horn
{37b936f8-165c-484d-a2f5-d06ae99a0822} bus:/grp_limiter
{81c0ee3a-2fd8-4e25-b775-eb7845ca644f} bus:/grp_skid_ext
{37bf169d-f171-4af4-a924-d65a1f998264} bus:/grp_skid_int
{ce5395d1-28c9-4dcc-90bd-051528b365d3} bus:/grp_surfaces
{9d0c46e7-d738-480e-8d5f-b5fb315a701a} bus:/grp_tractioncontrol_ext
{dcf6df4b-a019-4819-97e4-d1b3ed67e4b1} bus:/grp_tractioncontrol_int
{dba03e3d-9c12-43da-a5b9-9c79b7673c7f} bus:/grp_transmission
{35927822-c7cf-43ab-b6a2-447a4386450e} bus:/grp_turbo
{b7b6c398-22ee-465a-a6df-42861188e195} bus:/grp_wheel_closed
{208daf59-324a-4a13-994e-d284dac196ce} bus:/grp_wheel_open
{bec567db-3040-4ca9-82f7-75f072ab68c8} bus:/grp_wind_closed
{1c1f5d35-07d5-4d6f-b916-cd0eb4adfd60} bus:/grp_wind_open
{487a9bcc-8cf7-45ed-856b-c5229badd341} event:/cars/dtp_mazda_rx7fc_13b/backfire_ext
{c523b28e-a9dc-41dd-a53e-6a10a1ac09f0} event:/cars/dtp_mazda_rx7fc_13b/backfire_int
{d6b7773c-954d-477a-a06e-1a8f2105ab55} event:/cars/dtp_mazda_rx7fc_13b/bodywork
{c627f638-59bc-4213-aeb5-5a349a2d5a13} event:/cars/dtp_mazda_rx7fc_13b/door
{c5846db8-d0bc-4cb9-8065-ec953278a2b8} event:/cars/dtp_mazda_rx7fc_13b/engine_ext
{ef72675c-52a3-4797-a809-d556072fcc16} event:/cars/dtp_mazda_rx7fc_13b/engine_int
{d653cb10-79a7-4ab7-8a1a-a343c23b9d2f} event:/cars/dtp_mazda_rx7fc_13b/gear_ext
{b2a4bdde-643a-4cb0-b207-d0823d0f3688} event:/cars/dtp_mazda_rx7fc_13b/gear_grind
{5b7e97a1-b84d-4fd8-bf91-d2e9466b3c70} event:/cars/dtp_mazda_rx7fc_13b/gear_int
{bcbca10f-c98d-4a1c-a688-6f76ff0cf844} event:/cars/dtp_mazda_rx7fc_13b/horn
{20c936da-22c6-4470-8272-fa2a49ccfb10} event:/cars/dtp_mazda_rx7fc_13b/limiter
{a5927e1f-d7b0-41a4-ae45-90da83d77a95} event:/cars/dtp_mazda_rx7fc_13b/skid_ext
{ce6ef192-448b-4025-ad03-4bdff4017eb4} event:/cars/dtp_mazda_rx7fc_13b/skid_int
{4c619540-9e0a-4831-9eb9-8efe5257ba6f} event:/cars/dtp_mazda_rx7fc_13b/turbo
{b89323f1-e842-416e-b614-90cc8510b883} event:/cars/dtp_mazda_rx7fc_13b/wheel
{b903e213-28af-4b5b-a3dd-b2407f8cc484} event:/cars/dtp_mazda_rx7fc_13b/wind
{94f04703-a92c-49cf-a097-734f3e79ec08} vca:/vca_engine_ext
{ff157bb9-ecc1-49da-ad82-5e42fecb2ac9} vca:/vca_engine_int
{f8b9d9e5-bd29-4a82-a1a0-66e8b9059ccb} vca:/vca_skid
{45401f11-f5bd-429f-afb6-710deda49e32} vca:/vca_surfaces
{a61eba16-8f14-4a39-8ffd-c573cfdc0dbd} vca:/vca_transmission
{185673e8-d3ed-434c-acd4-61c819bb209c} vca:/vca_wind
